name,description,price,category,stock,image_url
Casque Bluetooth Premium,Casque sans fil haute qualité avec réduction de bruit active,149.99,Électronique,15,https://via.placeholder.com/300?text=Casque+Bluetooth
Montre Connectée Pro,Suivi de la santé et des activités avec écran AMOLED,299.99,Électronique,8,https://via.placeholder.com/300?text=Montre+Connectée
Housse Protectrice,Housse robuste pour téléphone avec protection d'angle,24.99,Accessoires,45,https://via.placeholder.com/300?text=Housse+Téléphone
Câble USB-C,Câble de charge rapide 3 mètres,19.99,Accessoires,60,https://via.placeholder.com/300?text=Câble+USB
Batterie Externe 20000mAh,Batterie portable avec charge rapide,59.99,Accessoires,25,https://via.placeholder.com/300?text=Batterie+Externe
Écouteurs Sans Fil,Écouteurs true wireless avec 8h d'autonomie,79.99,Électronique,30,https://via.placeholder.com/300?text=Écouteurs+Wireless
Lampe LED Tactile,Lampe de bureau avec 3 modes de couleur,34.99,Maison,20,https://via.placeholder.com/300?text=Lampe+LED
Souris Ergonomique,Souris sans fil ergonomique rechargeable,49.99,Informatique,18,https://via.placeholder.com/300?text=Souris+Ergonomique
Clavier Mécanique,Clavier rétroéclairé RGB avec switchs bleus,129.99,Informatique,12,https://via.placeholder.com/300?text=Clavier+Mécanique
Support Téléphone,Support universel pour voiture avec ventouse,15.99,Accessoires,40,https://via.placeholder.com/300?text=Support+Téléphone
Webcam 1080p,Webcam FHD pour streaming et visioconférence,89.99,Informatique,14,https://via.placeholder.com/300?text=Webcam+HD
Powerbank 10000,Batterie compacte et légère,39.99,Accessoires,35,https://via.placeholder.com/300?text=Powerbank
