id,name,old_image_url
1,"MacBook Pro 16"" M3 Max",/Assets/Images/products/macbook_pro.png
2,"LG UltraWide 38"" 3440x1440",/Assets/Images/products/monitor_gaming.png
3,"Logitech Brio 4K",/Assets/Images/products/usb_hub.png
4,"Shure SM7B",/Assets/Images/products/usb_hub.png
5,"Portable Charger 50000mAh",/Assets/Images/products/portable_charger.png
6,"Tablet Samsung Galaxy Tab",/Assets/Images/products/tablet.png
7,"BenQ PD2700U",/Assets/Images/products/monitor_gaming.png
8,"Veste Cuir Noir Premium",/Assets/Images/products/leather_jacket.png
9,"Jeans Slim Bleu D??lav??",/Assets/Images/products/classic_jeans.png
10,"Chemise Oxford Blanche",/Assets/Images/products/dress_elegant.png
11,"T-Shirt Col V Premium",/Assets/Images/products/sneakers_premium.png
12,"Pull Laine M??rinos Gris",/Assets/Images/products/scarf_silk.png
13,"Sneakers Blanches Design",/Assets/Images/products/running_shoes.png
14,"Accessoires Mode Ceinture",/Assets/Images/products/sunglasses_style.png
15,"Montre Designer Homme",/Assets/Images/products/designer_watch.png
16,"Lunettes Soleil Aviateur",/Assets/Images/products/sunglasses_style.png
17,"??charpe Soie Premium",/Assets/Images/products/scarf_silk.png
18,"Clean Code - Robert Martin",/Assets/Images/products/design_patterns.png
19,"The Pragmatic Programmer",/Assets/Images/products/design_patterns.png
20,"Design Patterns - Gang of Four",/Assets/Images/products/design_patterns.png
21,"Atomic Habits - James Clear",/Assets/Images/products/clean_code.png
22,"Zero to One - Peter Thiel",/Assets/Images/products/clean_code.png
23,"Python for Data Science",/Assets/Images/products/clean_code.png
24,"Web Development with React",/Assets/Images/products/web_development.png
25,"Machine Learning Foundations",/Assets/Images/products/design_patterns.png
26,"Lampe de Bureau LED Ajustable",/Assets/Images/products/modern_lamp.png
27,"Plante Monstera Artificielle",/Assets/Images/products/decorative_mirror.png
28,"Miroir Mural Dor?? Octagonal",/Assets/Images/products/designer_chair.png
29,"??tag??res Flottantes Design",/Assets/Images/products/modern_lamp.png
30,"Fauteuil Lounge Scandinave",/Assets/Images/products/designer_chair.png
31,"Tapis Persan Premium",/Assets/Images/products/rug.png
32,"V??lo Gravel Premium",/Assets/Images/products/gravel_bike.png
33,"Tapis de Yoga Premium",/Assets/Images/products/yoga_mat.png
34,"Chaussures Trail Running",/Assets/Images/products/running_shoes.png
35,"Gourde Isotherme Inox",/Assets/Images/products/portable_charger.png
